,,,,,,,
配布元：GitHub公開リポジトリ限定／X高エンゲージメント投稿ベース／カテゴリ順に整理,,,,,,,
No,カテゴリ,スキル名,,概要,ビジネス実用性,わかりやすく,GitHub URL
10,M,Marketing Ops Skill,,マーケティング運用・自動化・ツール統合を支援。キャンペーン管理・データパイプライン・MarTechスタック最適化を実行。,,過去の成功パターンを学習させ、新規顧客へのアプローチメールを相手ごとにパーソナライズするために使う。,https://github.com/alirezarezvani/claude-skills/tree/main/marketing-skill/marketing-ops
11,M,Advanced SEO Audit & Optimizer Skill,,URLから技術SEO・コンテンツSEO・競合分析を自動実行し、改善施策と実装コードを提案。,SEO業務をAI主導で効率化。オーガニックトラフィック向上と検索順位監視を日常業務に。,SEO業務をAI主導で効率化の作業をAIに任せて、自分のルーチンワークを効率化するために使う。,https://github.com/alirezarezvani/claude-skills/tree/main/marketing-skill/seo-audit
12,M,Google Ads Campaign Builder Skill,,キーワード・ターゲ・予算からGoogle Adsキャンペーン全体を自動生成・A/B設定・予測。,広告運用者のキャンペーン作成時間を1/10に短縮。ROAS最適化と予算配分を実現。,広告運用者のキャンペーン作成時間を1/10に短縮の作業をAIに任せて、自分のルーチンワークを効率化するために使う。,https://github.com/alirezarezvani/claude-skills/tree/main/marketing-skill/paid-ads
13,M,Customer Success Playbook Skill,,顧客行動ログからchurn予測・アップセル提案・パーソナライズド成功プランを自動生成。,CSチームの顧客対応をプロアクティブ化。解約率低下とLTV向上をデータドリブンで実現。,複雑なデータを集計・分析して、ビジネスの意思決定に役立つレポートやグラフを自動で作るために使う。,https://github.com/alirezarezvani/claude-skills/tree/main/business-growth/customer-success-manager
  ■ 文書・デザイン  （10件）,,,,,,,
14,D,UI/UX Pro Max Skill,,161業種ルール・67UIスタイル・161カラーパレットから完全デザインシステムを自動出力。,プロトタイピングを秒速化。プロダクトチームのUI一貫性・アクセシビリティを確保。,マーケ部門のオペレーション効率化。施策運用の属人化を解消し、データドリブンな運用体制を構築。,https://github.com/nextlevelbuilder/ui-ux-pro-max-skill  ⭐68.1k
15,D,Obsidian Skills,,Markdown・Bases・JSON Canvas・CLI操作・defuddleでWeb→Markdown変換まで対応。,ナレッジベース構築・文書自動生成・Web抽出を自動化。コンサル／PMの情報整理を効率化。,ナレッジベース構築・文書自動生成・Web抽出を自動化を自動化して、自分の作業時間を減らしつつ成果の質を上げるために使う。,https://github.com/kepano/obsidian-skills  ⭐25.5k
16,D,PDF Skill (公式),,PDFのフォーム抽出・読取・結合・分割・OCR処理を公式SKILL.md形式で提供。,契約書・報告書・請求書の文書処理を自動化。バックオフィスのデータ抽出業務を効率化。,複雑なデータを集計・分析して、ビジネスの意思決定に役立つレポートやグラフを自動で作るために使う。,https://github.com/anthropics/skills/tree/main/skills/pdf
17,D,DOCX Skill (公式),,Word文書（.docx）の作成・編集・処理を専門化した公式スキル。,提案書・報告書の自動化。企業内文書ワークフローをAIで高速化。,提案書・報告書の自動化を自動化して、自分の作業時間を減らしつつ成果の質を上げるために使う。,https://github.com/anthropics/skills/tree/main/skills/docx
18,D,XLSX Skill (公式),,Excelの作成・データ操作・チャート生成を専門化した公式スキル。,データ分析・集計・レポート自動生成。財務・営業データ処理を効率化。,複雑なデータを集計・分析して、ビジネスの意思決定に役立つレポートやグラフを自動で作るために使う。,https://github.com/anthropics/skills/tree/main/skills/xlsx
19,D,PPTX Skill (公式),,PowerPointプレゼンの作成・編集を専門化した公式スキル。,プレゼン資料自動生成で営業・企画業務を加速。視覚資料作成時間を短縮。,プレゼン資料自動生成で営業・企画業務を加速の作業をAIに任せて、自分のルーチンワークを効率化するために使う。,https://github.com/anthropics/skills/tree/main/skills/pptx
20,D,Image Enhancer Skill,,画像・スクショの解像度・鮮明度を自動向上しプロ品質に仕上げる。,マーケ資料・プレゼンのビジュアルクオリティを即時向上。,マーケ資料・プレゼンのビジュアルクオリティを即時向上の作業をAIに任せて、自分のルーチンワークを効率化するために使う。,https://github.com/ComposioHQ/awesome-claude-skills/tree/master/image-enhancer
21,D,Theme Factory Skill,,資料・スライド・レポート・LPにプロ仕様のフォント・カラーテーマ（10種プリセット）を自動適用。,ブランド統一資料作成を一瞬で完了。マーケ・営業・企画部門のビジュアル一貫性を確保し、生産性を向上。,ブランド統一資料作成を一瞬で完了の作業をAIに任せて、自分のルーチンワークを効率化するために使う。,https://github.com/ComposioHQ/awesome-claude-skills/tree/master/theme-factory
22,D,Canvas Design Skill,,デザイン哲学に基づき、ポスター・資料・静的ビジュアルをPNG/PDFで自動生成。,マーケ・イベント資料のビジュアル作成を即時化。クリエイティブ業務のスピードと一貫性を向上。,マーケ・イベント資料のビジュアル作成を即時化の作業をAIに任せて、自分のルーチンワークを効率化するために使う。,https://github.com/ComposioHQ/awesome-claude-skills/tree/master/canvas-design
23,D,Document Skills (Advanced),,docx/pdf/pptx/xlsxの作成・編集・分析を一括処理する拡張スキル群。,契約書・報告書・財務資料の大量処理を自動化し、バックオフィス業務を効率化。,コードから技術資料やマニュアルを自動で作成し、ドキュメント作成に費やす時間を大幅に削るために使う。,https://github.com/ComposioHQ/awesome-claude-skills/tree/master/document-skills
  ■ 財務・データ分析  （7件）,,,,,,,
24,F,Invoice Organizer Skill,,請求書・領収書の読取・情報抽出・一貫命名・整理を自動実行。,経理・財務の請求書管理・税務準備を自動化。月末／年末作業のミス削減に直結。,経理・財務の請求書管理・税務準備を自動化を自動化して、自分の作業時間を減らしつつ成果の質を上げるために使う。,https://github.com/ComposioHQ/awesome-claude-skills/tree/master/invoice-organizer
25,F,Data Journalism Skill,,データ取得・クリーニング・分析・可視化を一貫ワークフローで自動実行。,経営分析・競合調査・レポート作成を高速化。データ駆動意思決定を推進。,複雑なデータを集計・分析して、ビジネスの意思決定に役立つレポートやグラフを自動で作るために使う。,https://github.com/jamditis/claude-skills-journalism/tree/main/data-journalism
26,F,CSV Data Summarizer Skill,,大量CSVを読み込み、集計・洞察抽出・ビジュアル化提案まで自動実行。,営業・マーケデータの即時分析を実現し、意思決定をデータドリブン化。,複雑なデータを集計・分析して、ビジネスの意思決定に役立つレポートやグラフを自動で作るために使う。,https://github.com/coffeefuelbump/csv-data-summarizer-claude-skill
27,F,SaaS Metrics & Revenue Ops Skill,,ARR/MRR/Churn/LTV/CACなどのSaaS指標を自動分析・予測・改善提案。ダッシュボード生成も対応。,SaaS事業の財務・成長指標モニタリングをAI化。経営会議資料作成と意思決定を高速化。,SaaS事業の財務・成長指標モニタリングをAI化の作業をAIに任せて、自分のルーチンワークを効率化するために使う。,https://github.com/alirezarezvani/claude-skills/tree/main/finance/saas-metrics-coach
28,F,DCF Financial Modeling Skill,,DCF評価・財務予測・感度分析・レポート自動生成。,投資判断・M&A・予算策定業務を高精度・短時間で実行。ファイナンス部門の意思決定支援。,投資判断・M&A・予算策定業務を高精度・短時間で実行の作業をAIに任せて、自分のルーチンワークを効率化するために使う。,https://github.com/alirezarezvani/claude-skills/tree/main/finance/financial-analyst
29,F,International Expansion Skill,,海外展開・国際事業戦略を支援するC-Level Advisoryスキル。市場選定・GTM戦略・地域リスク評価を構造化ワークフローで実行。,グローバル展開時の市場分析・サプライチェーン含むオペレーションリスク評価。越境ビジネスの意思決定を支援。,グローバル展開時の市場分析・サプライチェーン含むオペレーションリスク評価の作業をAIに任せて、自分のルーチンワークを効率化するために使う。,https://github.com/alirezarezvani/claude-skills/tree/main/c-level-advisor/intl-expansion
30,F,C-Level Strategy Deck Generator Skill,,事業KPI・市場データから経営層向け戦略スライド（投資家向けピッチ含む）を完全自動作成。,経営企画・CEO室の資料作成時間を劇的に短縮。意思決定会議の質とスピードを向上。,複雑なデータを集計・分析して、ビジネスの意思決定に役立つレポートやグラフを自動で作るために使う。,https://github.com/alirezarezvani/claude-skills/tree/main/c-level-advisor/board-deck-builder
  ■ PM・業務・HR・法務  （18件）,,,,,,,
31,P,PhD / Research Integrity Skills,,論文監査・引用検証・実験分析。/phd-skills:xray で自動factcheckとガードレール実行。,市場調査・競合分析・DD時の資料検証を正確化。誤ったAI出力によるリスクを低減。,市場調査・競合分析・DD時の資料検証を正確化の作業をAIに任せて、自分のルーチンワークを効率化するために使う。,https://github.com/fcakyon/phd-skills  ⭐52
32,P,Internal Comms Skill,,社内ニュースレター・FAQ・状況報告を会社フォーマットで自動作成（ComposioHQ curated）。,HR・Opsチームの社内コミュニケーションを標準化・効率化。,HR・Opsチームの社内コミュニケーションを標準化・効率化の作業をAIに任せて、自分のルーチンワークを効率化するために使う。,https://github.com/ComposioHQ/awesome-claude-skills/tree/master/internal-comms
33,P,Meeting Insights Analyzer Skill,,会議文字起こしから発言比率・フィラー・リーダーシップパターンを分析。,チームダイナミクス改善・マネジメント効率化に活用。,チームダイナミクス改善・マネジメント効率化に活用の作業をAIに任せて、自分のルーチンワークを効率化するために使う。,https://github.com/ComposioHQ/awesome-claude-skills/tree/master/meeting-insights-analyzer
34,P,Tailored Resume Generator Skill,,求人票分析から経験を強調したカスタム履歴書を生成。,HR・採用業務の応募書類作成を効率化。,HR・採用業務の応募書類作成を効率化の作業をAIに任せて、自分のルーチンワークを効率化するために使う。,https://github.com/ComposioHQ/awesome-claude-skills/tree/master/tailored-resume-generator
35,P,File Organizer Skill,,ファイル・フォルダを文脈理解し、重複検出・最適構造提案・自動整理を実行。,チーム共有ドキュメントの散在を解消し、検索性を劇的に向上。,コードから技術資料やマニュアルを自動で作成し、ドキュメント作成に費やす時間を大幅に削るために使う。,https://github.com/ComposioHQ/awesome-claude-skills/tree/master/file-organizer
36,P,Source Verification Skill,,SIFT法・逆画像検索で出典検証ワークフローを実行し、事実確認を自動化。,市場調査・競合分析・提案資料の信頼性担保を強化。誤情報リスクを低減。,市場調査・競合分析・提案資料の信頼性担保を強化を自動化して、自分の作業時間を減らしつつ成果の質を上げるために使う。,https://github.com/jamditis/claude-skills-journalism/tree/main/source-verification
37,P,Fact Check Workflow Skill,,主張抽出・証拠評価・ファクトチェックを構造化ワークフローで実施。,プレスリリース・ブログ・提案書の正確性検証を自動化。ブランドリスク低減。,プレスリリース・ブログ・提案書の正確性検証を自動化を自動化して、自分の作業時間を減らしつつ成果の質を上げるために使う。,https://github.com/jamditis/claude-skills-journalism/tree/main/fact-check-workflow
38,P,Academic Writing / Research Integrity Skill,,学術的執筆・引用検証・論文構造化を専門化。,白書・調査レポート・提案書の学術品質を自動化。R&D・コンサル資料の信頼性を向上。,白書・調査レポート・提案書の学術品質を自動化を自動化して、自分の作業時間を減らしつつ成果の質を上げるために使う。,https://github.com/jamditis/claude-skills-journalism/tree/main/academic-writing
39,P,Connect Skill,,Gmail/Slack/GitHub/Notion等1000+サービスにClaudeを直接接続し、メール・Issue・DB更新を実行。,ツール間連携をAI主導で実現し、業務プロセス全体をシームレスに自動化。,GitHubのリポジトリ情報を解析して、コードの修正や新機能の実装をAIに相談しながら進めるために使う。,https://github.com/ComposioHQ/awesome-claude-skills/tree/master/connect
40,P,Kaizen Continuous Improvement Skill,,プロセス・コード・業務フローを定期レビューし、改善提案を生成・優先順位付け。,継続的改善文化をAIで支え、組織生産性を長期的に向上。,継続的改善文化をAIで支え、組織生産性を長期的に向上の作業をAIに任せて、自分のルーチンワークを効率化するために使う。,https://github.com/NeoLabHQ/context-engineering-kit/tree/master/plugins/kaizen/skills/kaizen
41,P,Contract & Legal Review Skill,,契約書・NDA・SOWのリスク抽出・条項比較・修正提案を構造化ワークフローで実行。,法務・調達のレビュー工数を大幅削減。契約締結スピード向上とリスク低減に直結。,法務・調達のレビュー工数を大幅削減の作業をAIに任せて、自分のルーチンワークを効率化するために使う。,https://github.com/alirezarezvani/claude-skills/tree/main/business-growth/contract-and-proposal-writer
42,P,Product Management PM Skill,,シニアPM視点で要件定義・優先順位付け・Jira/Linear連携・ロードマップ生成を自動化。,プロダクトチームの計画立案・調整を効率化。リリースサイクル短縮。,プロダクトチームの計画立案・調整を効率化を自動化して、自分の作業時間を減らしつつ成果の質を上げるために使う。,https://github.com/alirezarezvani/claude-skills/tree/main/product-team/product-manager-toolkit
43,P,Jira & Linear Project Automation Skill,,タスク自動作成・進捗同期・レポート生成・リスクアラートをJira/Linear連携で実行。,プロジェクト管理のルーチンワークをゼロ化。PMが戦略業務に集中可能に。,プロジェクト管理のルーチンワークをゼロ化を自動化して、自分の作業時間を減らしつつ成果の質を上げるために使う。,https://github.com/alirezarezvani/claude-skills/tree/main/project-management/jira-expert
44,P,n8n MCP Workflow Skill,,n8nノーコード自動化ツールをClaudeから直接呼出し、ワークフロー構築・実行・監視をMCPで一元管理。,社内業務プロセス（請求・承認・通知等）をノーコードでAI連携。IT部門の負担を削減。,社内業務プロセス（請求・承認・通知等）をノーコードでAI連携を自動化して、自分の作業時間を減らしつつ成果の質を上げるために使う。,https://github.com/czlonkowski/n8n-mcp  ⭐18.5k
45,P,CHRO Advisor Skill,,最高人事責任者視点で人事戦略・組織設計・タレントマネジメントを支援するメタスキル（alirezarezvaniのC-Level Advisory 34スキル群の1つ）。,組織戦略・人事施策をAI化。タレント配置・オンボーディング設計・組織健全性診断を強化。,組織戦略・人事施策をAI化の作業をAIに任せて、自分のルーチンワークを効率化するために使う。,https://github.com/alirezarezvani/claude-skills/tree/main/c-level-advisor/chro-advisor
46,P,Compliance & GDPR Checklist Skill,,契約書・データ処理フローからGDPR・CCPA・業界規制準拠チェックを自動実行しリスクレポート生成。,法務・コンプライアンスの監査準備を自動化。罰金リスク低減とグローバル展開時の法対応を強化。,複雑なデータを集計・分析して、ビジネスの意思決定に役立つレポートやグラフを自動で作るために使う。,https://github.com/alirezarezvani/claude-skills/tree/main/ra-qm-team/gdpr-dsgvo-expert
47,P,Graphify Knowledge Graph Skill,,ドキュメント・コードベースをインタラクティブな知識グラフに変換し、関係性検索・洞察抽出を可能に。,ナレッジ管理・競合分析・調査業務の可視化を自動化。意思決定の精度と速度を向上。,コードから技術資料やマニュアルを自動で作成し、ドキュメント作成に費やす時間を大幅に削るために使う。,https://github.com/alirezarezvani/claude-skills/tree/main/engineering/llm-wiki
48,P,PhD-Level Research Integrity Skill (Extended),,学術的厳密性をビジネス調査・白書作成に適用（引用検証・バイアス除去・方法論自動化）。,市場調査・競合分析の信頼性を保証。意思決定資料の品質をエンタープライズレベルに。,市場調査・競合分析の信頼性を保証を自動化して、自分の作業時間を減らしつつ成果の質を上げるために使う。,https://github.com/fcakyon/phd-skills/tree/main/plugin/skills
  ■ セキュリティ  （7件）,,,,,,,
49,S,Cloud Security Hardening AWS Skill,,AWSのIAM・SGrp・設定ベンチマークを自動診断・強化。,クラウドのセキュリティ管理とSOC 2／CIS準拠を効率化。攻撃面縮小と監査対応を支援。,コードの脆弱性を自動で見つけ出し、安全なサービスを公開するためのセキュリティチェックに使う。,https://github.com/mukul975/Anthropic-Cybersecurity-Skills/tree/main/skills/implementing-aws-security-hub
50,S,Vulnerability Management Patch Prioritization Skill,,CVSS・資産重要度・悪用可能性に基づくパッチ優先順位付けを自動実行。,脆弱性管理をリスクベースで最適化。MTTR短縮とコンプライアンス遵守を支援。,脆弱性管理をリスクベースで最適化の作業をAIに任せて、自分のルーチンワークを効率化するために使う。,https://github.com/mukul975/Anthropic-Cybersecurity-Skills/tree/main/skills/prioritizing-vulnerabilities-with-cvss-scoring
51,S,Incident Response Ransomware Skill,,ランサムウェア封じ込め・暗号解析・復旧計画を構造化ワークフローで実行。,インシデント時の事業中断最小化と規制対応（GDPR等）を迅速化。,インシデント時の事業中断最小化と規制対応（GDPR等）を迅速化の作業をAIに任せて、自分のルーチンワークを効率化するために使う。,https://github.com/mukul975/Anthropic-Cybersecurity-Skills/tree/main/skills/performing-ransomware-response
52,S,Threat Hunting Hypothesis Driven Skill,,行動分析・LOTL検知で仮説駆動型の脅威ハンティングを自動化。,先進脅威の早期発見を強化。SOC運用効率を向上させ、APT対策を実現。,先進脅威の早期発見を強化を自動化して、自分の作業時間を減らしつつ成果の質を上げるために使う。,https://github.com/mukul975/Anthropic-Cybersecurity-Skills/tree/main/skills/building-threat-hunt-hypothesis-framework
53,S,Zero Trust Architecture Implementation Skill,,マイクロセグメンテーションとIDベースアクセス制御をゼロトラスト原則で実装ガイド。,内部脅威・横移動リスクを低減。NIST準拠のアーキ構築を加速。,内部脅威・横移動リスクを低減の作業をAIに任せて、自分のルーチンワークを効率化するために使う。,https://github.com/mukul975/Anthropic-Cybersecurity-Skills/tree/main/skills/implementing-cisa-zero-trust-maturity-model
54,S,Runbook & Incident Response Skill,,障害対応手順書（runbook）自動生成・実行・更新を構造化。,運用のインシデント対応時間を短縮。SLA遵守とダウンタイム低減。,運用のインシデント対応時間を短縮の作業をAIに任せて、自分のルーチンワークを効率化するために使う。,https://github.com/alirezarezvani/claude-skills/tree/main/engineering/runbook-generator
55,S,Security Review Action Skill,,GitHub PR差分を自動解析し、脆弱性・セキュリティリスクを検知・修正提案。,DevSecOpsのコードレビューをAI化。リリース前セキュリティチェックを自動化。,GitHubのリポジトリ情報を解析して、コードの修正や新機能の実装をAIに相談しながら進めるために使う。,https://github.com/alirezarezvani/claude-skills/tree/main/engineering/skill-security-auditor
  ■ 開発生産性  （42件）,,,,,,,
56,E,AI Website Cloner Skill,,任意URLをNext.jsコードベースにクローン。スクショ・デザイン抽出・並列ビルド・diff自動化。,既存サイトのモダン化移行やソース復元を高速化。Web開発・リデザイン工数を劇的削減。,Webアプリの画面デザイン案を出し、ユーザーが使いやすいインターフェースを素早く実装するために使う。,https://github.com/JCodesMore/ai-website-cloner-template/tree/master/.claude/skills/clone-website
57,E,Caveman Skill,,応答をcavemanスタイルに変換し、出力トークンを65〜75%削減。lite/full/ultra + compress付き。,長時間Claude Codeセッションのトークン・レスポンスを大幅削減。コスト効率を向上。,長時間Claude Codeセッションのトークン・レスポンスを大幅削減の作業をAIに任せて、自分のルーチンワークを効率化するために使う。,https://github.com/JuliusBrussee/caveman/tree/main/skills/caveman
58,E,Changelog Generator Skill,,gitコミット履歴からユーザー向けリリースノートを自動生成。,製品アップデート通知を高速化。開発チームのコミュニケーション効率を向上。,製品アップデート通知を高速化の作業をAIに任せて、自分のルーチンワークを効率化するために使う。,https://github.com/ComposioHQ/awesome-claude-skills/tree/master/changelog-generator
59,E,Developer Growth Analysis Skill,,開発者のコードパターン・生産性トレンドから成長機会を特定。,エンジニアリングチームの評価・研修計画をデータ駆動化。,複雑なデータを集計・分析して、ビジネスの意思決定に役立つレポートやグラフを自動で作るために使う。,https://github.com/ComposioHQ/awesome-claude-skills/tree/master/developer-growth-analysis
60,E,Superpowers Core Skills (TDD/Debugging),,TDD・デバッグ・コラボレーションを含む20+のbattle-testedスキル（/brainstorm /plan搭載）。,開発ワークフローの計画からレビューまで構造化。コード品質と生産性をエンタープライズレベルに。,開発ワークフローの計画からレビューまで構造化の作業をAIに任せて、自分のルーチンワークを効率化するために使う。,https://github.com/obra/superpowers  ⭐161k
61,E,Test-Driven Development Skill,,RED-GREEN-REFACTORサイクルを強制。テストを先に書き、失敗確認→最小実装→検証を反復。,バグ発生を根本抑制。リリースサイクル短縮と保守コスト削減に直結。,プログラムのテストコードを自動生成し、動作確認の漏れをなくしてシステムの品質を保つために使う。,https://github.com/obra/superpowers/tree/main/skills/test-driven-development
62,E,Systematic Debugging Skill,,4段階の根本原因トレースと防御的プログラミングを組合せて問題特定・解決を構造化。,インシデント対応時間を短縮。運用・開発のトラブルシューティングをプロ化。,インシデント対応時間を短縮の作業をAIに任せて、自分のルーチンワークを効率化するために使う。,https://github.com/obra/superpowers/tree/main/skills/systematic-debugging
63,E,Brainstorming Skill,,Socratic質問で要件を深掘り、代替案を複数提示して設計ドキュメントを自動生成。,プロジェクト初期の要件定義ミスを防止。ステークホルダー合意形成を高速化。,コードから技術資料やマニュアルを自動で作成し、ドキュメント作成に費やす時間を大幅に削るために使う。,https://github.com/obra/superpowers/tree/main/skills/brainstorming
64,E,Writing Plans Skill,,タスクを2〜5分単位に細分化し、ファイルパス・コード・検証ステップまで明記した実行可能計画を作成。,大規模開発の計画立案をAI支援で即時化。チームハンドオフや進捗管理を効率化。,大規模開発の計画立案をAI支援で即時化の作業をAIに任せて、自分のルーチンワークを効率化するために使う。,https://github.com/obra/superpowers/tree/main/skills/writing-plans
65,E,Executing Plans Skill,,作成済み計画をバッチ実行し、人間チェックポイントを自動挿入しながら進捗管理。,反復作業の自動化と人間判断のバランスを取って開発生産性をスケール。,反復作業の自動化と人間判断のバランスを取って開発生産性をスケールを自動化して、自分の作業時間を減らしつつ成果の質を上げるために使う。,https://github.com/obra/superpowers/tree/main/skills/executing-plans
66,E,Dispatching Parallel Agents Skill,,複数サブエージェントを並列起動し、各タスクに新鮮なコンテキストを割り当てて同時進行。,複雑プロジェクトの並列処理を実現し、全体所要時間を劇的に短縮。,複雑プロジェクトの並列処理を実現し、全体所要時間を劇的に短縮の作業をAIに任せて、自分のルーチンワークを効率化するために使う。,https://github.com/obra/superpowers/tree/main/skills/dispatching-parallel-agents
67,E,Requesting Code Review Skill,,レビュー前にチェックリストを実行し、重大度別に問題を自動報告・ブロック。,コード品質ゲートを自動化し、リリース前バグ混入を防止。,コード品質ゲートを自動化し、リリース前バグ混入を防止を自動化して、自分の作業時間を減らしつつ成果の質を上げるために使う。,https://github.com/obra/superpowers/tree/main/skills/requesting-code-review
68,E,Using Git Worktrees Skill,,新規ブランチごとに隔離ワークスペースを作成し、クリーンなテスト環境を自動構築。,並行開発時の競合を排除し、安全に実験・統合が可能に。,プログラムのテストコードを自動生成し、動作確認の漏れをなくしてシステムの品質を保つために使う。,https://github.com/obra/superpowers/tree/main/skills/using-git-worktrees
69,E,Subagent Driven Development Skill,,1タスクにつき1サブエージェントを新規起動し、仕様確認→コード品質の2段階レビューを実施。,長時間自律開発を実現し、人間監督を最小化しつつ品質を維持。,長時間自律開発を実現し、人間監督を最小化しつつ品質を維持の作業をAIに任せて、自分のルーチンワークを効率化するために使う。,https://github.com/obra/superpowers/tree/main/skills/subagent-driven-development
70,E,MCP Builder Skill,,Python/TypeScriptで高品質なMCP（Model Context Protocol）サーバーを構築するガイド付きワークフロー。,外部API・ツール連携を即座に拡張。Claudeの自動化範囲を企業システム全体に広げる。,外部サービスのAPI連携コードを自動生成し、異なるツールを繋いで業務プロセスを自動化するために使う。,https://github.com/ComposioHQ/awesome-claude-skills/tree/master/mcp-builder
71,E,Skill Creator Skill,,業務特化の新スキルを作成するためのテンプレート・ベストプラクティス・テスト手法を提供。,自社独自ワークフローをClaudeに組み込み、社内ナレッジをAI化して再利用。,プログラムのテストコードを自動生成し、動作確認の漏れをなくしてシステムの品質を保つために使う。,https://github.com/ComposioHQ/awesome-claude-skills/tree/master/skill-creator
72,E,Webapp Testing Skill,,Playwrightを活用したローカルWebアプリの自動テスト・UI検証・スクリーンショット取得。,フロントエンド品質保証を自動化し、リリース前の検証工数を削減。,プログラム of the テストコードを自動生成し、動作確認の漏れをなくしてシステムの品質を保つために使う。,https://github.com/ComposioHQ/awesome-claude-skills/tree/master/webapp-testing
73,E,Artifacts Builder Skill,,React/Tailwind/shadcn/uiを使った多機能HTMLアーティファクトを自動生成。,ダッシュボード・プロトタイプ・資料を瞬時に作成。デザイン・プレゼン業務を高速化。,Webアプリの画面デザイン案を出し、ユーザーが使いやすいインターフェースを素べく実装するために使う。,https://github.com/ComposioHQ/awesome-claude-skills/tree/master/artifacts-builder
74,E,Langsmith Fetch Skill,,LangChain/LangGraphの実行トレースを自動取得・分析しデバッグ情報を抽出。,AIエージェント開発時の可観測性を向上。運用・改善サイクルを加速。,AIエージェント開発時の可観測性を向上の作業をAIに任せて、自分のルーチンワークを効率化するために使う。,https://github.com/ComposioHQ/awesome-claude-skills/tree/master/langsmith-fetch
75,E,Observability Designer Skill,,SLI/SLOフレームワーク・アラート最適化・ダッシュボード生成を行う可観測性設計スキル。コード・ログ・メトリクスから根本原因分析を構造化。,運用トラブル時の調査時間を短縮し、根本解決を促進。SREチームの観測性を強化。,運用トラブル時の調査時間を短縮し、根本解決を促進の作業をAIに任せて、自分のルーチンワークを効率化するために使う。,https://github.com/alirezarezvani/claude-skills/tree/main/engineering/observability-designer
